satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
ACS 3,59588,2024-10-04T19:32:05.573Z,0.001,5.994933204,0.276285997,52.15399,4.49085,8.0,10.0,WATEC 902H2 Supreme + 1.2/85 mm,CCD,CLEAR,0000-0001-6659-9253,321.7136715,7.552500929,,,,1379.915,,,,5-frame average; lim mag of instrument,,,321.736244,7.4722705,1380.266626,-4.5441956,0.2390832,-0.0373567,48.8277845,44.5918647,165.2364037,1034.523757,-22.027591,291.98995714,True,2024-077B,False
ACS 3,59588,2024-10-03T19:00:27.319Z,0.001,6.6830102,0.096618345,52.15399,4.49085,8.0,10.0,WATEC 902H2 Supreme + 1.2/85 mm,CCD,CLEAR,0000-0001-6659-9253,342.9184541,16.81681335,,,,1421.885,,,,5-frame average; lim mag of instrument +10,,,342.8955538,16.6272328,1425.229597,-3.8173484,0.2506287,0.0510397,29.1985462,42.3445874,122.4889764,1035.176737,-17.06736418,285.36543532,True,2024-077B,False
ACS 3,59588,2024-10-03T19:00:27.359Z,0.001,6.73630477,0.128848237,52.15399,4.49085,8.0,10.0,WATEC 902H2 Supreme + 1.2/85 mm,CCD,CLEAR,0000-0001-6659-9253,342.9226321,16.82589941,,,,1421.733,,,,5-frame average; lim mag of instrument +10,,,342.8976844,16.6372568,1425.076952,-3.8164364,0.2506756,0.0510573,29.2004264,42.3520096,122.4795111,1035.176313,-17.06746292,285.36557514,True,2024-077B,False
ACS 3,59588,2024-10-03T19:00:27.399Z,0.001,6.735407772,0.128819643,52.15399,4.49085,8.0,10.0,WATEC 902H2 Supreme + 1.2/85 mm,CCD,CLEAR,0000-0001-6659-9253,342.923327,16.83801097,,,,1421.581,,,,5-frame average; lim mag of instrument +10,,,342.8998159,16.6472828,1424.924344,-3.815524,0.2507225,0.0510749,29.20231,42.3594322,122.4700416,1035.175889,-17.06756167,285.36571496,True,2024-077B,False
STARLINK-31370,59520,2024-04-29T10:28:45.000Z,0.3,2.4,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,296.5581295,2.6405555,409.027802,0.0148543,0.4170983,0.9468898,80.7073832,52.7489844,149.7231078,330.363999,-12.64309811,60.96008939,True,2024-073K,False
STARLINK-31509,59533,2024-04-29T10:30:27.000Z,0.3,2.3,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.8945586,4.3599009,400.276185,-0.1157349,0.4257941,0.967305,79.5644954,55.1509146,151.8331322,332.599765,-12.34229115,61.24716595,True,2024-073Y,False
STARLINK-31392,59530,2024-04-29T10:31:33.000Z,0.3,2.3,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.7723164,5.8083782,393.873911,-0.0776075,0.4312476,0.9836635,79.8420961,56.64133,151.4965708,332.686137,-12.1472111,61.43225989,True,2024-073V,False
STARLINK-31619,59531,2024-04-29T10:32:08.000Z,0.3,2.2,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.4095225,6.4455751,390.326351,-0.0975259,0.4351065,0.992599,79.6713764,57.4241043,151.9067947,332.420196,-12.04362053,61.53020667,True,2024-073W,False
STARLINK-31513,59529,2024-04-29T10:32:47.000Z,0.3,2.1,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,293.9170374,7.1756808,386.956095,-0.1279366,0.4392104,1.0009348,79.4058192,58.3460965,152.5222081,332.671583,-11.92807799,61.63917798,True,2024-073U,False
STARLINK-30822,58193,2023-12-19T00:03:29.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,55.3808369,77.0312888,760.581732,-0.0061421,-0.5217504,0.1600631,55.6778966,40.8370171,15.3618877,521.64899,-10.29048339,248.45487008,True,2023-167U,False
